CLEANED NAME,GAME RESULT,POINT DIFFERENCE,PACE,HOME TEAM OFFENSIVE RATING,HOME TEAM DEFENSIVE RATING,HOME TEAM 2PT%,HOME TEAM 3PT%,HOME TEAM FT%,HOME TEAM REBOUNDS,HOME TEAM ASSISTS,HOME TEAM STEALS,HOME TEAM BLOCKS,HOME TEAM TURNOVERS,HOME TEAM AVERAGE PLUS/MINUS,HOME TEAM DOUBLE DOUBLES,HOME TEAM TOP 50 CONTRACT PLAYERS,AWAY TEAM OFFENSIVE RATING,AWAY TEAM DEFENSIVE RATING,AWAY TEAM 2PT%,AWAY TEAM 3PT%,AWAY TEAM FT%,AWAY TEAM REBOUNDS,AWAY TEAM ASSISTS,AWAY TEAM STEALS,AWAY TEAM BLOCKS,AWAY TEAM TURNOVERS,AWAY TEAM AVERAGE PLUS/MINUS,AWAY TEAM DOUBLE DOUBLES,AWAY TEAM TOP 50 CONTRACT PLAYERS
20200804-H-MIL-A-BRK,0,3,107.5,107.9,110.9230769,0.675675676,0.333333333,0.652173913,54,28,3,5,18,-1.153846154,1,2,110.7,108.3636364,0.47826087,0.368421053,0.75,42,30,5,6,7,1.363636364,1,0
20200804-H-POR-A-HOU,1,8,100.8,109.1,101,0.421875,0.387096774,0.689655172,64,18,7,5,12,5,2,3,101.2,109.875,0.441176471,0.358490566,0.625,39,24,7,3,10,-5,0,2
20200804-H-SAC-A-DAL,0,4,98.4,101.3,105.2,0.442622951,0.372093023,0.666666667,47,26,8,3,10,-2,1,3,105,102.5454545,0.489795918,0.219512195,0.78,61,22,4,2,17,1.818181818,2,1
20200805-H-BOS-A-BRK,1,34,110.2,135.1,104.2307692,0.612244898,0.512820513,0.828571429,43,29,10,10,14,13.07692308,0,3,104.3,136.2307692,0.587301587,0.25,0.80952381,34,23,9,2,17,-13.07692308,0,0
20200805-H-LAL-A-OKC,0,19,100.8,85.3,104.6153846,0.509803922,0.135135135,0.655172414,46,17,7,3,11,-7.307692308,1,2,104.1,86.58333333,0.527272727,0.208333333,0.888888889,52,17,9,2,13,7.916666667,0,3
20200805-H-ORL-A-TOR,0,10,101.5,97.6,107.9,0.52173913,0.268292683,0.692307692,43,26,8,4,13,-5,0,1,107.4,96.76923077,0.577777778,0.363636364,0.7,44,25,6,2,15,3.846153846,1,5
20200805-H-SAS-A-DEN,0,6,98.2,128.3,134.6,0.555555556,0.366666667,0.851851852,35,29,10,5,7,-3,0,1,134.4,127.6666667,0.654545455,0.388888889,0.857142857,46,31,6,5,14,3.333333333,2,2
20200805-H-UTA-A-MEM,1,9,103.1,120.3,113.6363636,0.512820513,0.4,0.909090909,46,25,5,4,17,4.090909091,1,3,111.6,121.9,0.516129032,0.379310345,0.72,41,21,7,3,14,-4.5,1,0
20200805-H-WAS-A-PHI,0,9,100.1,97.9,106.9,0.453125,0.333333333,0.791666667,48,17,8,5,15,-4.5,1,0,106.9,98.55555556,0.509433962,0.379310345,0.689655172,41,27,11,4,14,5,1,4
20200806-H-DAL-A-LAC,0,15,93.2,119.1,132.6666667,0.564102564,0.354166667,0.761904762,37,24,3,4,7,-8.333333333,0,1,135.2,120.1538462,0.590163934,0.451612903,0.8,45,22,3,3,6,5.769230769,1,2
20200806-H-DEN-A-POR,0,10,94.1,122.2,134.4,0.535714286,0.5,0.764705882,44,30,5,4,16,-5,1,1,132.8,122.375,0.377358491,0.58974359,0.8,39,30,7,6,9,6.25,1,3
20200806-H-HOU-A-LAL,1,16,104.8,107.8,93.5,0.555555556,0.368421053,0.869565217,34,26,11,5,19,10,1,1,92.5,108.1818182,0.568965517,0.105263158,0.694444444,48,18,11,6,24,-7.272727273,1,1
20200806-H-MIL-A-MIA,1,14,104,125,112.6666667,0.634146341,0.405405405,0.868421053,44,27,7,3,14,5.833333333,1,2,111.6,125,0.378378378,0.456521739,0.925925926,39,28,6,1,19,-6.363636364,0,1
20200806-H-PHO-A-IND,1,15,101.5,112.3,98.45454545,0.586206897,0.264705882,0.95,53,27,6,4,15,6.818181818,3,1,97.5,112.8333333,0.482142857,0.344827586,0.789473684,38,20,6,5,15,-6.25,1,2
20200806-H-SAC-A-NOP,1,15,100.3,139.6,125,0.566666667,0.484848485,0.727272727,39,26,11,3,8,5.769230769,1,3,124.6,140.1666667,0.6875,0.411764706,0.739130435,30,31,4,3,17,-6.25,0,2
20200807-H-BRK-A-SAC,1,13,99.1,120.1,109.1538462,0.543478261,0.425,0.642857143,44,30,9,3,9,5,1,0,107,117.4615385,0.530612245,0.3,0.75,50,19,3,4,15,-5,0,3
20200807-H-MEM-A-OKC,1,29,97.9,123.6,93.38461538,0.673076923,0.35483871,0.9,58,24,6,4,19,11.15384615,1,0,93.9,123.2307692,0.388888889,0.302325581,0.733333333,36,19,12,2,10,-11.15384615,0,2
20200807-H-NOP-A-WAS,1,11,101.4,116.4,106.6,0.566037736,0.342857143,0.846153846,45,25,7,8,18,5.5,1,2,105.5,117.4,0.444444444,0.37037037,0.913043478,40,22,9,4,13,-5.5,2,0
20200807-H-PHI-A-ORL,1,7,96.7,111.7,103.7777778,0.46875,0.275862069,0.727272727,51,19,4,4,9,3.888888889,2,3,104.5,111.6666667,0.517857143,0.25,0.76,47,17,5,2,9,-3.888888889,1,1
20200807-H-SAS-A-UTA,1,8,104.2,114.2,107.5,0.537313433,0.409090909,0.769230769,47,27,10,5,13,4,1,1,106.5,113.9090909,0.407407407,0.432432432,0.791666667,49,25,8,4,15,-3.636363636,1,0
20200807-H-TOR-A-BOS,0,22,105,95.3,116.3076923,0.549019608,0.263157895,0.823529412,48,20,8,7,17,-8.461538462,0,5,116.2,95.66666667,0.62,0.347826087,0.75,52,27,8,2,14,9.166666667,1,4
20200808-H-DAL-A-MIL,1,4,105.6,116.7,112.9,0.5,0.320754717,0.92,54,37,6,2,6,2,3,1,113.2,118.6363636,0.581818182,0.340909091,0.676470588,55,26,3,9,13,-1.818181818,2,2
20200808-H-DEN-A-UTA,1,2,97.1,114.2,112.5555556,0.591549296,0.243243243,0.766666667,52,29,10,5,11,1.111111111,3,3,112.5,114.4,0.5,0.4,0.727272727,51,34,6,4,22,-1,2,3
20200808-H-IND-A-LAL,1,5,102.6,113,107.5,0.568627451,0.454545455,0.928571429,42,25,12,4,20,2.5,0,2,108.2,112.5,0.475409836,0.333333333,0.736842105,44,20,13,6,15,-2.5,1,2
20200808-H-MIA-A-PHO,0,7,99.6,112.5,119.5555556,0.625,0.305555556,0.863636364,37,28,6,9,12,-3.888888889,1,1,119.5,112.2222222,0.533333333,0.375,0.95,52,27,5,4,11,3.888888889,1,1
20200808-H-POR-A-LAC,0,5,99,118.1,122.7777778,0.574468085,0.395348837,0.705882353,41,24,5,2,11,-2.777777778,1,2,123.2,118.7,0.529411765,0.441176471,0.821428571,45,24,5,2,14,2.5,0,1
20200809-H-BOS-A-ORL,1,3,99.3,111.3,108.4,0.532258065,0.3,0.833333333,54,32,9,7,12,1.5,1,4,108.5,110.9,0.472727273,0.319148936,0.846153846,52,24,7,4,13,-1.5,3,1
20200809-H-LAC-A-BRK,0,9,100.1,119.9,129.5,0.561403509,0.361111111,0.85,39,23,8,2,10,-4.5,0,1,128.9,117.8888889,0.642857143,0.465116279,0.789473684,46,32,5,5,16,5,2,0
20200809-H-NOP-A-SAS,0,9,104,108.6,116.0833333,0.454545455,0.4,0.772727273,48,30,5,5,19,-3.75,1,2,117.3,109.4,0.475409836,0.392857143,0.96875,51,22,12,6,17,4.5,0,1
20200809-H-OKC-A-WAS,1,18,98,123.5,107,0.555555556,0.461538462,0.772727273,43,25,7,3,12,8.181818182,0,2,105.1,124.3636364,0.517857143,0.25,0.818181818,44,23,6,3,15,-8.181818182,0,0
20200809-H-POR-A-PHI,1,3,103.5,119.8,117.8888889,0.571428571,0.314285714,0.931034483,41,19,8,6,10,1.666666667,0,2,116.9,118.75,0.492537313,0.466666667,0.764705882,48,24,6,3,15,-1.25,0,3
20200809-H-SAC-A-HOU,0,17,108.2,103.5,117.8461538,0.62,0.27027027,0.869565217,41,29,9,2,17,-6.538461538,1,3,119.2,104.5454545,0.735294118,0.315789474,0.833333333,48,21,9,3,15,7.727272727,1,1
20200809-H-TOR-A-MEM,1,9,105.2,102.7,96.09090909,0.59375,0.384615385,0.757575758,40,25,17,7,25,4.090909091,1,5,94.1,102,0.469387755,0.333333333,0.6875,42,24,14,3,22,-5,1,0
20200810-H-LAL-A-DEN,1,3,88.8,139.7,137.2,0.576923077,0.482758621,0.6875,32,28,8,4,10,1.5,1,2,136.3,139.1,0.592592593,0.565217391,0.782608696,35,27,6,2,14,-1.5,0,3
20200810-H-MIA-A-IND,1,22,104.4,109.2,85.9,0.534482759,0.325,0.684210526,59,29,11,9,13,11,1,2,88.1,109,0.469387755,0.285714286,0.64,45,20,5,4,17,-9.166666667,0,2
20200810-H-MIL-A-TOR,0,8,104,101.9,109.8461538,0.463414634,0.325581395,0.742857143,49,25,4,6,19,-3.076923077,0,1,109.6,101.4,0.526315789,0.3,0.692307692,55,24,11,6,13,4,1,2
20200810-H-PHO-A-OKC,1,27,106.8,119.8,93,0.454545455,0.5,0.931034483,53,29,11,7,19,11.25,0,1,94.5,120.0909091,0.431372549,0.333333333,0.857142857,40,24,10,2,19,-12.27272727,1,1
20200810-H-UTA-A-DAL,0,8,92,123.9,131.9230769,0.5,0.456521739,0.75,38,28,5,6,12,-3.076923077,0,2,132.6,123.8181818,0.590163934,0.5,0.875,34,29,6,3,8,3.636363636,0,0
20200811-H-DAL-A-POR,0,3,104.3,125.6,129.7,0.594594595,0.454545455,0.818181818,37,28,4,5,17,-1.5,1,1,128.5,124.375,0.516666667,0.394736842,0.931034483,48,18,9,3,8,1.875,0,3
20200811-H-MEM-A-BOS,0,15,96,111.5,128.7692308,0.466666667,0.24137931,0.789473684,44,26,8,4,8,-5.769230769,2,0,127.1,112.3846154,0.571428571,0.432432432,0.782608696,46,29,7,7,12,5.769230769,0,4
20200811-H-ORL-A-BRK,0,12,100.3,95.7,107.6,0.416666667,0.304347826,0.862068966,49,13,9,3,17,-6,1,1,107.6,95.66666667,0.543478261,0.302325581,0.791666667,47,26,9,4,13,6.666666667,0,0
20200811-H-PHI-A-PHO,0,13,92.3,126.8,141.6666667,0.516666667,0.454545455,0.714285714,34,28,5,4,8,-7.222222222,1,0,140.9,126.6666667,0.606557377,0.428571429,0.952380952,44,28,4,3,7,7.222222222,1,1
20200811-H-SAC-A-NOP,1,6,100.7,111.2,105.5,0.516129032,0.423076923,0.9375,45,27,4,6,20,3,1,2,105.3,111.9,0.603448276,0.291666667,0.789473684,34,25,8,6,19,-3,0,0
20200811-H-SAS-A-HOU,1,18,111.7,110.1,92.25,0.540983607,0.40625,0.9,59,28,10,5,22,7.5,2,1,94,107.7272727,0.536585366,0.291666667,0.904761905,37,18,14,3,18,-8.181818182,0,1
20200811-H-WAS-A-MIL,0,13,104.2,108.5,121.3333333,0.45,0.342857143,0.766666667,44,22,2,3,11,-5.416666667,0,0,120.9,107.0909091,0.530612245,0.473684211,0.714285714,53,25,6,0,14,5.909090909,0,1
20200812-H-DEN-A-LAC,0,13,95.8,115.9,129.0769231,0.576923077,0.371428571,0.631578947,42,33,4,3,12,-5,1,3,129.5,116.8333333,0.666666667,0.378378378,0.782608696,40,29,11,1,7,5.416666667,1,2
20200812-H-HOU-A-IND,0,4,109.4,95.1,100.6,0.551724138,0.280701754,0.857142857,49,20,8,6,20,-2,1,1,98.7,94.1,0.420289855,0.35483871,0.772727273,54,25,15,7,14,2,1,1
20200812-H-OKC-A-MIA,1,1,99.7,116.3,115.6923077,0.489361702,0.380952381,0.814814815,50,20,7,4,16,0.384615385,0,3,115.3,116.7692308,0.636363636,0.333333333,0.85,40,24,14,2,12,-0.384615385,0,2
20200812-H-PHI-A-TOR,0,4,105.3,114.9,117.7272727,0.5,0.425,0.787878788,47,27,9,10,17,-1.818181818,0,3,118.7,113.9230769,0.468085106,0.418604651,0.675,47,28,8,7,12,1.538461538,0,4
20200813-H-BOS-A-WAS,0,6,97.1,92.7,96.54545455,0.509433962,0.228571429,0.857142857,51,22,8,7,18,-2.727272727,0,0,98.9,93.22222222,0.387096774,0.384615385,0.75,56,22,11,6,18,3.333333333,0,0
20200813-H-BRK-A-POR,0,1,104.8,126.9,127.3,0.619047619,0.424242424,0.684210526,46,28,5,5,14,-0.5,2,0,127.9,127.1111111,0.569230769,0.333333333,0.875,42,25,10,4,9,0.555555556,2,3
20200813-H-LAL-A-SAC,0,14,104.6,116.7,130.0833333,0.523809524,0.428571429,0.733333333,47,29,6,1,17,-5.833333333,0,1,130.1,117.7692308,0.6875,0.446808511,0.583333333,44,37,12,2,14,5.384615385,1,2
20200813-H-MEM-A-MIL,1,13,109.7,108.5,97.4,0.561403509,0.393939394,0.695652174,55,36,4,3,18,6.5,2,0,96.6,108.8333333,0.456140351,0.317073171,0.652173913,45,27,8,3,15,-5.416666667,0,1
